

DateTime: 2018-04-14 16:12:53
top - 16:12:53 up  1:20,  1 user,  load average: 0.38, 0.76, 0.88
Tasks: 224 total,   1 running, 223 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14.1 us,  3.3 sy,  0.3 ni, 75.6 id,  6.6 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 16314700 total,  9199248 free,  2087996 used,  5027456 buff/cache
KiB Swap: 16659452 total, 16659452 free,        0 used. 13444628 avail Mem

PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
794 root      20   0   29008   2976   2696 S   0.0  0.0   0:00.01 cron
800 root      20   0  337300   8556   6900 S   0.0  0.1   0:00.00 ModemManag+
802 root      20   0   93232   7556   6388 S   0.0  0.0   0:00.00 cupsd
814 root      20   0  166452   8976   8192 S   0.0  0.1   0:00.82 thermald
834 root      20   0  288308  22564  14096 S   0.0  0.1   0:00.03 snapd
836 message+  20   0   44404   5292   3504 S   0.0  0.0   0:02.79 dbus-daemon
856 root      20   0  458464  17776  13736 S   0.0  0.1   0:03.19 NetworkMan+
858 syslog    20   0  256392   3228   2676 S   0.0  0.0   0:00.12 rsyslogd
862 root      20   0   32116   4136   3788 S   0.0  0.0   0:00.04 bluetoothd
864 root      20   0   28628   3144   2768 S   0.0  0.0   0:00.16 systemd-lo+
869 root      20   0  275872   6252   5520 S   0.0  0.0   0:00.16 accounts-d+
963 root      20   0   19544   2248   1988 S   0.0  0.0   0:00.46 irqbalance
964 avahi     20   0   44784    336     12 S   0.0  0.0   0:00.00 avahi-daem+
965 root      20   0  274816   9380   8164 S   0.0  0.1   0:00.04 cups-brows+
975 root      20   0  276680   8168   5332 S   0.0  0.1   0:00.00 lightdm
993 root      20   0  281848   8500   5968 S   0.0  0.1   0:00.17 polkitd
1002 root      20   0  470040 100612  85688 S   0.0  0.6   2:56.01 Xorg
1043 mysql     20   0 1370060 169676  17232 S   0.0  1.0   0:27.28 mysqld
1057 postgres  20   0  294700  24144  22428 S   0.0  0.1   0:00.01 postgres
1061 root      20   0   44128   7208   6424 S   0.0  0.0   0:00.37 wpa_suppli+
1081 whoopsie  20   0  373988  12384  10752 S   0.0  0.1   0:00.12 whoopsie
1097 root      20   0   15936   1788   1652 S   0.0  0.0   0:00.00 agetty
1121 root      20   0  286392  29668  23828 S   0.0  0.2   0:00.25 php-fpm7.0
1124 www-data  20   0  286392   7380   1540 S   0.0  0.0   0:00.00 php-fpm7.0
1125 www-data  20   0  286392   7380   1540 S   0.0  0.0   0:00.00 php-fpm7.0
1126 postgres  20   0  294700   3944

DateTime: 2018-04-14 16:13:23
top - 16:13:23 up  1:21,  1 user,  load average: 0.53, 0.75, 0.87
Tasks: 224 total,   1 running, 223 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14.0 us,  3.3 sy,  0.3 ni, 75.8 id,  6.6 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 16314700 total,  9196108 free,  2089868 used,  5028724 buff/cache
KiB Swap: 16659452 total, 16659452 free,        0 used. 13441760 avail Mem

PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
7521 prerna    20   0 6742640  40612  16472 S   6.2  0.2   0:00.21 java
1 root      20   0  185180   5784   3980 S   0.0  0.0   0:01.81 systemd
2 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kthreadd
3 root      20   0       0      0      0 S   0.0  0.0   0:00.08 ksoftirqd/0
